Topic_Year,Topic_num,Sum_Citation,Five_Year_Percent,Three_Year_Percent,Sum_SJR,Avg_SJR,Year,Topic,Growth_Rate,Citation_Growth_Rate,Year_Sum,Topic_Percent_By_Year,Percent_By_Year_Growth_Rate
0_2002,72.0,7219.0,0.3415492957746479,0.5739644970414202,103.65899999999996,1.068649484536082,2002,0,,,587.0,0.12265758091993186,
0_2003,97.0,6510.0,0.3323529411764706,0.4007092198581561,101.36500000000002,0.8970353982300887,2003,0,0.3472222222222223,-0.09821304889873939,715.0,0.13566433566433567,0.10604118104118099
0_2004,113.0,6138.0,0.2967581047381546,0.3617021276595745,77.61,0.6521848739495798,2004,0,0.1649484536082475,-0.05714285714285716,830.0,0.13614457831325302,0.0035399329275866975
0_2005,119.0,7152.0,0.251865671641791,0.3678474114441417,137.85600000000005,1.021155555555556,2005,0,0.053097345132743445,0.1652003910068427,974.0,0.12217659137577003,-0.10259671821337069
0_2006,135.0,4255.0,0.22278056951423786,0.34366925064599485,97.09299999999999,0.7300225563909775,2006,0,0.134453781512605,-0.4050615212527964,1326.0,0.10180995475113122,-0.16669835354956464
0_2007,133.0,11188.0,0.2784992784992785,0.4186550976138829,209.45700000000005,1.0852694300518138,2007,0,-0.014814814814814836,1.6293772032902467,1145.0,0.11615720524017467,0.14092188258127125
0_2008,193.0,7068.0,0.22459893048128346,0.340080971659919,178.07500000000005,1.0599702380952385,2008,0,0.45112781954887216,-0.368251698248123,1673.0,0.11536162582187687,-0.006849161157526207
0_2009,168.0,5574.0,0.21375,0.32142857142857145,190.98,1.1168421052631579,2009,0,-0.1295336787564767,-0.2113752122241087,1850.0,0.09081081081081081,-0.21281613219437057
0_2010,171.0,6387.0,0.24688561721404306,0.3913824057450628,246.966,1.1328715596330274,2010,0,0.017857142857142794,0.14585575888051672,2022.0,0.08456973293768547,-0.06872615515048741
0_2011,218.0,6978.0,0.2416582406471183,0.38057324840764334,346.1280000000001,1.4482343096234311,2011,0,0.2748538011695907,0.09253170502583363,2397.0,0.09094701710471423,0.07540858822065588
0_2012,239.0,6234.0,0.2518796992481203,0.3696551724137931,319.4190000000001,1.1918619402985078,2012,0,0.09633027522935778,-0.10662080825451414,2522.0,0.09476605868358445,0.041991938828219944
0_2013,268.0,5169.0,0.24196277495769886,0.3606557377049181,296.2819999999997,1.035951048951048,2013,0,0.12133891213389125,-0.170837343599615,2827.0,0.0948001414927485,0.00035965206992361054
0_2014,286.0,4540.0,0.22706422018348624,0.3490011750881316,311.9749999999996,1.0504208754208741,2014,0,0.0671641791044777,-0.1216869800735152,3155.0,0.09064976228209191,-0.043780306076590225
0_2015,297.0,2962.0,0.20146520146520147,0.3205128205128205,265.68900000000014,0.9661418181818188,2015,0,0.03846153846153855,-0.3475770925110132,3537.0,0.08396946564885496,-0.07369348209042859
0_2016,275.0,2066.0,0.18523878437047755,0.30917874396135264,306.153,1.19591015625,2016,0,-0.07407407407407407,-0.3024983119513842,3669.0,0.07495230307985827,-0.10738620877623328
0_2017,256.0,1111.0,0.17664449371766444,0.3103896103896104,271.7750000000002,1.13713389121339,2017,0,-0.06909090909090909,-0.4622458857696031,3938.0,0.06500761808024377,-0.13268017914031127
0_2018,239.0,315.0,0.2072808320950966,0.36046511627906974,0.0,0.0,2018,0,-0.06640625,-0.7164716471647165,4194.0,0.0569861707200763,-0.12339242072007617
1_2002,16.0,328.0,0.21052631578947367,0.3333333333333333,8.451,1.056375,2002,1,,,587.0,0.027257240204429302,
1_2003,8.0,576.0,0.3469387755102041,0.4146341463414634,38.287,2.2521764705882354,2003,1,-0.5,0.7560975609756098,715.0,0.011188811188811189,-0.5895104895104895
1_2004,17.0,1445.0,0.3970588235294117,0.5192307692307693,20.194000000000003,0.7479259259259259,2004,1,1.125,1.5086805555555554,830.0,0.020481927710843374,0.8305722891566265
1_2005,27.0,1790.0,0.31313131313131315,0.4133333333333333,37.313,1.2036451612903225,2005,1,0.588235294117647,0.23875432525951568,974.0,0.027720739219712527,0.35342432660949386
1_2006,31.0,597.0,0.23853211009174316,0.30952380952380953,15.839,0.6091923076923076,2006,1,0.14814814814814814,-0.6664804469273743,1326.0,0.023378582202111614,-0.15663929389419584
1_2007,26.0,1291.0,0.25735294117647056,0.3804347826086957,57.283,1.6366571428571428,2007,1,-0.16129032258064513,1.1624790619765495,1145.0,0.022707423580786028,-0.028708268770249235
1_2008,35.0,2444.0,0.2608695652173913,0.4077669902912621,41.98500000000001,0.9996428571428572,2008,1,0.34615384615384626,0.8931061192873742,1673.0,0.02092050209205021,-0.07869327325394282
1_2009,42.0,1407.0,0.23863636363636365,0.35294117647058826,56.857000000000006,1.3537380952380953,2009,1,0.19999999999999996,-0.42430441898527005,1850.0,0.022702702702702703,0.08518918918918916
1_2010,42.0,2422.0,0.2639593908629442,0.38235294117647056,71.61399999999998,1.3771923076923076,2010,1,0.0,0.7213930348258706,2022.0,0.020771513353115726,-0.0850642927794264
1_2011,52.0,1110.0,0.18181818181818185,0.2878787878787879,43.119,1.1347105263157895,2011,1,0.23809523809523814,-0.541701073492981,2397.0,0.02169378389653734,0.04440073901901198
