Topic_Year,Topic_num,Sum_Citation,Five_Year_Percent,Three_Year_Percent
4_2003,81.0,4174.0,0.31272727272727274,0.3739130434782609
4_2004,86.0,3579.0,0.2966360856269113,0.36742424242424243
4_2005,97.0,8055.0,0.29067245119305857,0.4227129337539432
4_2006,134.0,3384.0,0.2055888223552894,0.3083832335329341
4_2007,103.0,5846.0,0.3103448275862069,0.44366197183098594
4_2008,189.0,8366.0,0.2654494382022472,0.39293139293139295
4_2009,189.0,8280.0,0.25273390036452004,0.35494880546075086
4_2010,208.0,9004.0,0.2762605042016807,0.3984848484848485
4_2011,263.0,7915.0,0.25132275132275134,0.376984126984127
4_2012,285.0,6896.0,0.26229508196721313,0.38009049773755654
4_2013,336.0,6829.0,0.2546075085324232,0.37525150905432597
4_2014,373.0,7187.0,0.25356294536817103,0.37588028169014087
4_2015,427.0,5808.0,0.23766094420600858,0.3563958165728077
4_2016,443.0,4073.0,0.22598039215686275,0.34635612321562737
4_2017,461.0,2443.0,0.22298221614227087,0.35104091888011485
4_2018,489.0,722.0,0.21177999133824166,0.33981931897150797
5_2002,36.0,2337.0,0.2542372881355932,0.45454545454545453
5_2003,30.0,1224.0,0.2962962962962963,0.37735849056603776
5_2004,40.0,2195.0,0.24285714285714285,0.3269230769230769
5_2005,34.0,3604.0,0.3,0.44776119402985076
5_2006,60.0,1380.0,0.21904761904761905,0.32857142857142857
5_2007,46.0,2357.0,0.23404255319148937,0.3416149068322981
5_2008,55.0,1622.0,0.2641509433962264,0.4093567251461988
5_2009,70.0,2799.0,0.2524271844660194,0.3842364532019704
5_2010,78.0,2440.0,0.25449101796407186,0.3648068669527897
5_2011,85.0,1327.0,0.19101123595505617,0.2943722943722944
5_2012,68.0,2460.0,0.22422680412371135,0.3625
5_2013,87.0,2946.0,0.24465558194774348,0.3992248062015504
5_2014,103.0,2030.0,0.23608017817371937,0.3581081081081081
5_2015,106.0,1422.0,0.22055674518201285,0.3301282051282051
5_2016,103.0,1140.0,0.2597402597402597,0.40114613180515757
5_2017,140.0,574.0,0.2206896551724138,0.3450134770889488
5_2018,128.0,161.0,0.24285714285714285,0.36342042755344417
6_2002,40.0,2900.0,0.2987012987012987,0.5348837209302325
6_2003,46.0,1701.0,0.22,0.2773109243697479
6_2004,33.0,2255.0,0.2958579881656805,0.3875968992248062
6_2005,50.0,2917.0,0.3045267489711934,0.4713375796178344
6_2006,74.0,8189.0,0.24814814814814815,0.3507853403141361
6_2007,67.0,2567.0,0.2679738562091503,0.36771300448430494
6_2008,82.0,2832.0,0.24376731301939059,0.37130801687763715
