PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,EY,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"BRUCK, SD",,,,"BRUCK, SD",,,PROBLEMS AND CHALLENGES OF BIOMATERIALS IN CARDIOVASCULAR APPLICATIONS - A STATUS-REPORT,BIOMATERIALS MEDICAL DEVICES AND ARTIFICIAL ORGANS,,,English,Article,,,,,,,,,,"BRUCK, SD (reprint author), STEPHEN D BRUCK ASSOCIATES,MED TECHNOL ASSESSMENT GRP,7315 WISCONSIN AVE,SUITE 727-E,BETHESDA,MD 20814, USA.",,,,,,,22,4,4,0,2,MARCEL DEKKER INC,NEW YORK,"270 MADISON AVE, NEW YORK, NY 10016",0090-5488,,,BIOMATER ARTIF CELL,,,1983.0,11,4,,,,,271,280,,10.3109/10731198309118813,,,,10,"Engineering, Biomedical; Materials Science, Biomaterials",Engineering; Materials Science,TH641,WOS:A1983TH64100003,6386065.0,,,,2019-02-25
J,"GEIGER, D; TREVISAN, D; BERCOVY, M; ODDOU, C",,,,"GEIGER, D; TREVISAN, D; BERCOVY, M; ODDOU, C",,,HARMONIC AND IMPULSE RHEOLOGICAL TESTS OF BIOMATERIALS,BIORHEOLOGY,,,English,Meeting Abstract,,,,,,,,,"UNIV PARIS 12,MECAN PHYS LAB,F-94010 CRETEIL,FRANCE",,,,,,,,0,0,0,0,0,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND OX5 1GB",0006-355X,,,BIORHEOLOGY,Biorheology,,1983.0,20,6,,,,,816,817,,,,,,2,"Biophysics; Engineering, Biomedical; Hematology",Biophysics; Engineering; Hematology,RW250,WOS:A1983RW25000021,,,,,2019-02-25
J,"MUSTER, D; CHAMPY, M; SZMUKLER, S; BALTZINGER, C; BURGGRAF, C",,,,"MUSTER, D; CHAMPY, M; SZMUKLER, S; BALTZINGER, C; BURGGRAF, C",,,CORROSION STUDY OF METALLIC BIOMATERIALS USING SURFACE PHYSICS METHODS,COMPTES RENDUS DES SEANCES DE LA SOCIETE DE BIOLOGIE ET DE SES FILIALES,,,French,Article,,,,,,,,,"UNIV STRASBOURG 1,CRISTALLOG & MINERAL LAB,F-67070 STRASBOURG,FRANCE; UNIV METZ,MET STRUCT LAB,F-57000 METZ,FRANCE","MUSTER, D (reprint author), CHR STRASBOURG,CHAIRE STOMATOL & CHIRURG MAXILLO FACIALE,RECH LAB,F-67091 STRASBOURG,FRANCE.",,,,,,,6,0,0,0,1,MASSON EDITEUR,PARIS 06,"120 BLVD SAINT-GERMAIN, 75280 PARIS 06, FRANCE",0037-9026,,,CR SOC BIOL,,,1983.0,177,4,,,,,496,503,,,,,,8,Biology,Life Sciences & Biomedicine - Other Topics,RR980,WOS:A1983RR98000012,6232985.0,,,,2019-02-25
J,"PLANCHE, C; ONURSAL, E; WEISS, M",,,,"PLANCHE, C; ONURSAL, E; WEISS, M",,,EXPERIMENTAL EVALUATION OF 3 BIOMATERIALS FOR REPLACEMENT OF THE PULMONARY-ARTERY BRANCHES,EUROPEAN SURGICAL RESEARCH,,,English,Article,,,,,,,,,,"PLANCHE, C (reprint author), HOP MARIE LANNELONGUE,CHIRURG EXPTL LAB,PARIS,FRANCE.",,,,,,,21,1,1,0,0,KARGER,BASEL,"ALLSCHWILERSTRASSE 10, CH-4009 BASEL, SWITZERLAND",0014-312X,,,EUR SURG RES,Eur. Surg. Res.,,1983.0,15,2,,,,,79,91,,10.1159/000128337,,,,13,Surgery,Surgery,QH111,WOS:A1983QH11100005,6221929.0,,,,2019-02-25
J,"GRUNFELD, H; LOTAN, N; SIDEMAN, S",,,,"GRUNFELD, H; LOTAN, N; SIDEMAN, S",,,SEPARATION OF BIOMATERIALS,ISRAEL JOURNAL OF MEDICAL SCIENCES,,,English,Meeting Abstract,,,,,,,,,"TECHNION ISRAEL INST TECHNOL,DEPT BIOMED ENGN,HAIFA,ISRAEL",,,,,,,,0,0,0,0,0,ISRAEL JOURNAL MED SCIENCES,JERUSALEM,"2 ETZEL ST, FRENCH HILL, JERUSALEM 97853, ISRAEL",0021-2180,,,ISRAEL J MED SCI,Isr. J. Med. Sci.,,1983.0,19,6,,,,,589,589,,,,,,1,"Medicine, General & Internal",General & Internal Medicine,QW414,WOS:A1983QW41400064,,,,,2019-02-25
J,"BERNSTEIN, MJ",,,,"BERNSTEIN, MJ",,,CLINICAL-APPLICATIONS OF BIOMATERIALS,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,,,English,Editorial Material,,,,,,,,,,"BERNSTEIN, MJ (reprint author), NIH,OFF MED APPLICAT RES,BLDG 1,ROOM 216,BETHESDA,MD 20205, USA.",,,,,,,0,0,0,0,0,AMER MEDICAL ASSOC,CHICAGO,"515 N STATE ST, CHICAGO, IL 60610",0098-7484,,,JAMA-J AM MED ASSOC,JAMA-J. Am. Med. Assoc.,,1983.0,249,8,,,,,1050,1054,,,,,,5,"Medicine, General & Internal",General & Internal Medicine,QC052,WOS:A1983QC05200022,6823061.0,,,,2019-02-25
J,"GAYOT, A; TRAISNEL, M",,,,"GAYOT, A; TRAISNEL, M",,,"MACROMOLECULAR BIOMATERIALS - GENERAL-CONSIDERATIONS, UTILIZATION OF MICROCAPSULES BY EXTRACORPOREAL-CIRCULATION",JOURNAL DE PHARMACIE DE BELGIQUE,,,French,Article,,,,,,,,,,"GAYOT, A (reprint author), FAC PHARM LILLE,PHARMACOTECHNIE IND LAB,RUE PROF LAGUESSE,F-59045 LILLE,FRANCE.",,,,,,,35,3,3,0,0,MASSON EDITEUR,PARIS 06,"120 BLVD SAINT-GERMAIN, 75280 PARIS 06, FRANCE",0047-2166,,,J PHARM BELG,,,1983.0,38,5,,,,,246,250,,,,,,5,Pharmacology & Pharmacy,Pharmacology & Pharmacy,SD480,WOS:A1983SD48000003,6668537.0,,,,2019-02-25
J,"BUCKLES, RG",,,,"BUCKLES, RG",,,BIOMATERIALS FOR DRUG DELIVERY SYSTEMS,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH,,,English,Article,,,,,,,,,,"BUCKLES, RG (reprint author), UNIV BASEL,DEPT ANAESTHESIE,WISSENSCHAFTLICHEN ABT,CH-4031 BASEL,SWITZERLAND.",,,,,,,34,13,14,1,27,JOHN WILEY & SONS INC,NEW YORK,"605 THIRD AVE, NEW YORK, NY 10158-0012",0021-9304,,,J BIOMED MATER RES,J. Biomed. Mater. Res.,,1983.0,17,1,,,,,109,128,,10.1002/jbm.820170110,,,,20,"Engineering, Biomedical; Materials Science, Biomaterials",Engineering; Materials Science,PX391,WOS:A1983PX39100009,6826569.0,,,,2019-02-25
J,"GALLETTI, PM; BORETOS, JW",,,,"GALLETTI, PM; BORETOS, JW",,,"REPORT ON THE CONSENSUS DEVELOPMENT CONFERENCE ON CLINICAL-APPLICATIONS OF BIOMATERIALS, 1-3 NOVEMBER 1983",JOURNAL OF BIOMEDICAL MATERIALS RESEARCH,,,English,Editorial Material,,,,,,,,,"NIH,DRS,BIOMED ENGN & INSTRUMENTAT BRANCH,BETHESDA,MD 20205","GALLETTI, PM (reprint author), BROWN UNIV,DIV BIOL & MED,PROVIDENCE,RI 02912, USA.",,,,,,,0,4,4,1,2,JOHN WILEY & SONS INC,NEW YORK,"605 THIRD AVE, NEW YORK, NY 10158-0012",0021-9304,,,J BIOMED MATER RES,J. Biomed. Mater. Res.,,1983.0,17,3,,,,,539,555,,10.1002/jbm.820170312,,,,17,"Engineering, Biomedical; Materials Science, Biomaterials",Engineering; Materials Science,QP430,WOS:A1983QP43000011,,,,,2019-02-25
J,"SCHOEN, FJ; BRAUNWALD, NS",,,,"SCHOEN, FJ; BRAUNWALD, NS",,,KEY REFERENCES IN BIOMATERIALS - HEART-VALVE REPLACEMENT,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH,,,English,Review,,,,,,,,,"HARVARD UNIV, BRIGHAM & WOMENS HOSP, SCH MED, DIV THORAC & CARDIAC SURG, BOSTON, MA 02115 USA","SCHOEN, FJ (reprint author), HARVARD UNIV, BRIGHAM & WOMENS HOSP, SCH MED, DEPT PATHOL, BOSTON, MA 02115 USA.",,,,,,,284,0,0,0,1,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN, NJ 07030 USA",0021-9304,,,J BIOMED MATER RES,J. Biomed. Mater. Res.,,1983.0,17,4,,,,,715,729,,10.1002/jbm.820170414,,,,15,"Engineering, Biomedical; Materials Science, Biomaterials",Engineering; Materials Science,QX298,WOS:A1983QX29800013,6350307.0,,,,2019-02-25
