Cluster_Topic,PY,Topic_Year,PT,PG,Have_Funding_Agency,Author_count,Funding_agency_count,Squeezed_Publisher,Contain_Top_All_authors,Contain_Top_All_funding_agencies,Count_of_top_funding_agency,Contain_Top_PU
12,2000,12_2000,J,4,0,5,0,ELSEVIER SCIENCE BV,0.0,0.0,0,1.0
13,2000,13_2000,J,6,0,3,0,ELSEVIER SCIENCE SA,0.0,0.0,0,0.0
13,2000,13_2000,J,9,0,1,0,AMER CHEMICAL SOC,0.0,0.0,0,1.0
12,2000,12_2000,J,10,0,3,0,ELSEVIER SCIENCE BV,0.0,0.0,0,1.0
1,2000,1_2000,J,12,0,3,0,ELSEVIER SCIENCE BV,0.0,0.0,0,1.0
5,2000,5_2000,J,7,0,6,0,Other Publishers,0.0,0.0,0,1.0
6,2000,6_2000,J,10,0,6,0,Other Publishers,0.0,0.0,0,1.0
3,2000,3_2000,J,11,0,4,0,WILEY,0.0,0.0,0,1.0
10,2000,10_2000,J,8,0,1,0,ELSEVIER SCIENCE SA,0.0,0.0,0,0.0
1,2000,1_2000,J,11,1,2,1,Other Publishers,0.0,0.0,0,1.0
5,2000,5_2000,J,12,0,7,0,Other Publishers,0.0,0.0,0,1.0
13,2000,13_2000,J,10,1,5,2,Other Publishers,0.0,0.0,0,1.0
4,2000,4_2000,J,8,0,8,0,Other Publishers,0.0,0.0,0,1.0
10,2000,10_2000,J,7,0,1,0,Other Publishers,0.0,0.0,0,0.0
5,2000,5_2000,J,8,0,3,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
6,2000,6_2000,J,6,0,7,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
4,2000,4_2000,J,7,0,8,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
13,2000,13_2000,J,7,0,3,0,Other Publishers,0.0,0.0,0,0.0
1,2000,1_2000,J,6,0,6,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
12,2000,12_2000,J,3,0,2,0,ROYAL SOC CHEMISTRY,0.0,0.0,0,0.0
4,2000,4_2000,J,3,0,4,0,Other Publishers,0.0,0.0,0,0.0
11,2000,11_2000,J,8,0,1,0,Other Publishers,0.0,0.0,0,0.0
4,2000,4_2000,J,6,0,5,0,Other Publishers,0.0,0.0,0,0.0
12,2000,12_2000,J,7,0,2,0,Other Publishers,0.0,0.0,0,0.0
1,2000,1_2000,J,5,0,4,0,Other Publishers,0.0,0.0,0,0.0
12,2000,12_2000,J,7,0,2,0,Other Publishers,0.0,0.0,0,0.0
2,2000,2_2000,J,7,0,8,0,SPRINGER,0.0,0.0,0,1.0
10,2000,10_2000,J,8,0,3,0,SPRINGER,0.0,0.0,0,1.0
14,2000,14_2000,J,14,0,7,0,ELSEVIER SCIENCE BV,0.0,0.0,0,1.0
4,2000,4_2000,J,9,0,4,0,Other Publishers,0.0,0.0,0,0.0
7,2000,7_2000,J,9,0,1,0,Other Publishers,0.0,0.0,0,0.0
0,2000,0_2000,J,6,0,3,0,Other Publishers,0.0,0.0,0,0.0
2,2000,2_2000,J,7,0,6,0,ELSEVIER SCIENCE SA,0.0,0.0,0,0.0
12,2000,12_2000,J,14,0,5,0,Other Publishers,0.0,0.0,0,0.0
5,2000,5_2000,J,6,0,4,0,Other Publishers,0.0,0.0,0,0.0
2,2000,2_2000,J,8,0,4,0,AMER CHEMICAL SOC,0.0,0.0,0,1.0
5,2000,5_2000,J,6,1,7,1,Other Publishers,0.0,0.0,0,0.0
1,2000,1_2000,J,12,0,5,0,ELSEVIER SCIENCE BV,0.0,0.0,0,1.0
3,2000,3_2000,J,8,0,5,0,ELSEVIER SCIENCE BV,0.0,0.0,0,1.0
7,2000,7_2000,J,10,0,2,0,ELSEVIER SCIENCE BV,0.0,0.0,0,1.0
13,2000,13_2000,J,6,0,4,0,Other Publishers,0.0,0.0,0,0.0
10,2000,10_2000,J,6,0,3,0,WILEY-V C H VERLAG GMBH,0.0,0.0,0,0.0
8,2000,8_2000,J,10,0,2,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
