Topic_Year,Citation_feature,Topic_num,Five_Year_Percent,Three_Year_Percent,Sum_SJR,Avg_SJR,Year,Topic,Growth_Rate,Citation_Growth_Rate,Year_Growth_Rate,Target,Avg_SJR_1,Avg_SJR_2,Avg_SJR_3,Sum_SJR_1,Sum_SJR_2,Sum_SJR_3,Google Trend,Review_AMT
0_2004,0.0014468922456788989,69.0,0.24522292993630573,0.3515981735159817,62.657,0.8137272727272726,2004,0,-0.0547945205479452,0.4870750806854529,0.16083916083916083,0,1.0200579710144928,1.0563287671232875,,70.384,77.112,,0.48026315789473684,4.0
0_2005,0.001028609072087333,77.0,0.2594594594594595,0.39669421487603307,94.64599999999999,0.9858958333333332,2005,0,0.11594202898550732,-0.2890907563025209,0.17349397590361448,0,0.8137272727272726,1.0200579710144928,1.0563287671232875,62.657,70.384,77.112,0.3626634958382878,5.0
0_2006,0.0007244171636345336,96.0,0.20253164556962025,0.31620553359683795,78.86000000000001,0.9857500000000001,2006,0,0.24675324675324672,-0.29573131008412135,0.3613963039014374,0,0.9858958333333332,0.8137272727272726,1.0200579710144928,94.64599999999999,62.657,70.384,0.39580209895052476,13.0
0_2007,0.0013570595374156071,80.0,0.32916666666666666,0.47305389221556887,183.86799999999997,1.1637215189873416,2007,0,-0.16666666666666663,0.8733122371189974,-0.13650075414781293,0,0.9857500000000001,0.9858958333333332,0.8137272727272726,78.86000000000001,94.64599999999999,62.657,0.424408014571949,13.0
0_2008,0.0005271409520602153,158.0,0.25,0.36533333333333334,163.01700000000002,1.1899051094890514,2008,0,0.9750000000000001,-0.6115565032142172,0.46113537117903936,1,1.1637215189873416,0.9857500000000001,0.9858958333333332,183.86799999999997,78.86000000000001,94.64599999999999,0.37937743190661477,14.0
0_2009,0.0007280509144411931,137.0,0.2686335403726708,0.3696581196581197,249.00899999999993,1.4393583815028899,2009,0,-0.13291139240506333,0.3811313873372293,0.10579796772265393,0,1.1899051094890514,1.1637215189873416,0.9857500000000001,163.01700000000002,183.86799999999997,78.86000000000001,0.48711943793911006,10.0
0_2010,0.0005254116926004248,173.0,0.2584573748308525,0.3812375249500998,292.363,1.530696335078534,2010,0,0.2627737226277371,-0.2783311136918243,0.09297297297297291,1,1.4393583815028899,1.1899051094890514,1.1637215189873416,249.00899999999993,163.01700000000002,183.86799999999997,0.44212962962962965,13.0
0_2011,0.0004567201768845911,191.0,0.23638470451911936,0.3591549295774648,329.78699999999986,1.61660294117647,2011,0,0.10404624277456653,-0.1307384603031161,0.185459940652819,0,1.530696335078534,1.4393583815028899,1.1899051094890514,292.363,249.00899999999993,163.01700000000002,0.47848101265822784,17.0
0_2012,0.00032956946523504156,204.0,0.24274973147153597,0.3639291465378422,291.4280000000001,1.2895044247787615,2012,0,0.0680628272251309,-0.27839959363494315,0.052148518982060965,1,1.61660294117647,1.530696335078534,1.4393583815028899,329.78699999999986,292.363,249.00899999999993,0.46236559139784944,20.0
0_2013,0.00028836969848034666,226.0,0.224609375,0.3484848484848485,301.7979999999997,1.3121652173913032,2013,0,0.10784313725490202,-0.1250108735811194,0.12093576526566219,0,1.2895044247787615,1.61660294117647,1.530696335078534,291.4280000000001,329.78699999999986,292.363,0.5208333333333334,13.0
0_2014,0.0003938356833628851,230.0,0.24288256227758007,0.37448559670781895,396.35299999999955,1.4518424908424892,2014,0,0.017699115044247815,0.36573185545611775,0.11602405376724434,0,1.3121652173913032,1.2895044247787615,1.61660294117647,301.7979999999997,291.4280000000001,329.78699999999986,0.5321100917431193,27.0
0_2015,0.0002165038348415705,273.0,0.21398483572030327,0.33553500660501984,295.5239999999999,1.1634803149606294,2015,0,0.18695652173913047,-0.4502686171225344,0.12107765451664032,1,1.4518424908424892,1.3121652173913032,1.2895044247787615,396.35299999999955,301.7979999999997,291.4280000000001,0.5298013245033113,26.0
0_2016,0.0002488549279421431,254.0,0.21860095389507153,0.3428927680798005,372.78699999999975,1.35558909090909,2016,0,-0.06959706959706957,0.14942503500802173,0.037319762510602095,0,1.1634803149606294,1.4518424908424892,1.3121652173913032,295.5239999999999,396.35299999999955,301.7979999999997,0.5797101449275363,34.0
0_2017,0.00020203672043410392,275.0,0.19626168224299065,0.322663252240717,364.37299999999993,1.445924603174603,2017,0,0.08267716535433078,-0.18813454045372202,0.07331698010357046,1,1.35558909090909,1.1634803149606294,1.4518424908424892,372.78699999999975,295.5239999999999,396.35299999999955,0.5714285714285714,22.0
0_2018,0.0002426742326129215,252.0,0.21343283582089553,0.35178351783517836,0.0,0.0,2018,0,-0.08363636363636362,0.20113923890420637,0.06500761808024369,0,1.445924603174603,1.35558909090909,1.1634803149606294,364.37299999999993,372.78699999999975,295.5239999999999,0.5758754863813229,39.0
1_2004,0.0005807741999602464,64.0,0.2627450980392157,0.3641304347826087,48.10299999999999,0.7179552238805968,2004,1,0.2075471698113207,-0.2417062610145787,0.16083916083916083,1,0.7459062500000001,0.7266792452830191,,47.73800000000001,38.51400000000001,,1.9669421487603307,4.0
1_2005,0.0004713750090129064,67.0,0.2569444444444444,0.36097560975609755,55.87800000000001,0.7551081081081082,2005,1,0.046875,-0.188367856138975,0.17349397590361448,0,0.7179552238805968,0.7459062500000001,0.7266792452830191,48.10299999999999,47.73800000000001,38.51400000000001,2.0386904761904763,1.0
